| Timestamp           | Temperature | Humidity | Soil Moisture | Rain | Flow (L/min) | Motor Status |
| 7/4/2025, 3:09:38 pm | 30.2°C      | 69.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:09:32 pm | 30.3°C      | 14.9%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:09:26 pm | 29.9°C      | 60.5%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:09:20 pm | 30°C      | 60.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:09:13 pm | 29.9°C      | 60%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:09:07 pm | 29.9°C      | 58.8%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:09:01 pm | 29.9°C      | 58.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:55 pm | 29.9°C      | 49.9%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:50 pm | 29.9°C      | 58%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:46 pm | 29.9°C      | 57.4%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:38 pm | 29.8°C      | 60%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:31 pm | 29.9°C      | 65.9%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:26 pm | 29.8°C      | 39.2%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:20 pm | 29.7°C      | 61.8%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:13 pm | 29.8°C      | 61.7%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:08 pm | 29.8°C      | 61.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:08:04 pm | 29.8°C      | 61.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:57 pm | 29.9°C      | 61.2%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:51 pm | 29.9°C      | 61.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:45 pm | 30°C      | 61.1%      | 63%           | No       | 0.00         | OFF     |
